id,order_in_date,category_id,title_jp,title_en,date,duration,image_file_name,audio_file_name,word_count
playerenglishnews_3_30073,1,playerenglishnews_3,一年の計は元日にあり！英語学習初心者におすすめの学習法,Tips for Effectively Studying English,01/01,55033,playerenglishnews_3_30073.jpg,playerenglishnews_3_30073.m4a,134
playerenglishnews_7_70034,2,playerenglishnews_7,アメリカと日本の正月休みの違い,Differences in How the New Year is Spent in the U.S. and Japan,01/01,35789,playerenglishnews_7_70034.jpg,playerenglishnews_7_70034.m4a,96
playerenglishnews_5_50001,3,playerenglishnews_5,月が大きく見える、スーパームーンの秘密,What is a supermoon?,01/01,43578,playerenglishnews_5_50001.jpg,playerenglishnews_5_50001.m4a,119
playerenglishnews_10_100521,4,playerenglishnews_10,もはや常識！？絶対知っておきたい英単語10選,10 Words You Need to Know (Beginner Level),01/01,56200,playerenglishnews_10_100521.jpg,playerenglishnews_10_100521.m4a,78
playerenglishnews_9_96623,5,playerenglishnews_9,"恋の予感
日常／恋話編 #1",Tomoya asked me out!,01/01,39670,playerenglishnews_9_96623.jpg,playerenglishnews_9_96623.m4a,76
playerenglishnews_3_30032,1,playerenglishnews_3,今年から始める英語学習！帰国子女が教える英単語暗記法,Three things you need when you learn vocabs,01/02,30822,playerenglishnews_3_30032.jpg,playerenglishnews_3_30032.m4a,71
playerenglishnews_3_30051,2,playerenglishnews_3,サンドイッチとトランプの意外な関係,The Game Played by the Earl of Sandwich,01/02,35756,playerenglishnews_3_30051.jpg,playerenglishnews_3_30051.m4a,91
playerenglishnews_6_6032,3,playerenglishnews_6,名作コメディ「フレンズ」が英語学習に向く理由,"A Geeky Introduction to ""Friends""",01/02,50144,playerenglishnews_6_6032.jpg,playerenglishnews_6_6032.m4a,116
playerenglishnews_10_100567,4,playerenglishnews_10,英語も中級者が意外と答えられない英単語10選,10 Words You Need to Know (Intermediate Level),01/02,56100,playerenglishnews_10_100567.jpg,playerenglishnews_10_100567.m4a,84
playerenglishnews_9_96624,5,playerenglishnews_9,"のろけ話
日常／恋話編 #2",I heard you and Joseph are together now.,01/02,29750,playerenglishnews_9_96624.jpg,playerenglishnews_9_96624.m4a,61
playerenglishnews_7_70033,1,playerenglishnews_7,アメリカでは新年をどう過ごす？,How Americans Celebrate the New Year,01/03,56811,playerenglishnews_7_70033.jpg,playerenglishnews_7_70033.m4a,130
playerenglishnews_6_6160,2,playerenglishnews_6,オリンピック競技から外れたスポーツ,"Former Olympic ""Sports""",01/03,68422,playerenglishnews_6_6160.jpg,playerenglishnews_6_6160.m4a,149
playerenglishnews_3_30014,3,playerenglishnews_3,もはや歩けない？歴史に残る奇抜なスカート,The Weird Fashion of the World: Skirts,01/03,78556,playerenglishnews_3_30014.jpg,playerenglishnews_3_30014.m4a,187
playerenglishnews_10_100522,4,playerenglishnews_10,まずはここから！やさしい英単語10選,10 Words You Need to Know (Beginner Level),01/03,55150,playerenglishnews_10_100522.jpg,playerenglishnews_10_100522.m4a,76
playerenglishnews_9_96625,5,playerenglishnews_9,"婚約
日常／恋話編 #3",I got engaged to Joseph!,01/03,33970,playerenglishnews_9_96625.jpg,playerenglishnews_9_96625.m4a,57
